X,Y,Nombre,UTMX,UTMY,Tipo,icon_url
-75.2384291526765,-11.9502448232198,MANANTIAL MANCAL CHULPOR,"474040","8678937",MANANTIAL,./0.png
-75.2373901936325,-11.948961547397,CAIDA DE AGUA PACHASSHRUCLO,"474153","8679079",CAIDA DE AGUA,./1.png
-75.2357549663552,-11.9484926696676,CAIDA DE AGUA INISH WA�U,"474331","8679131",CAIDA DE AGUA,./1.png
-75.2350477153117,-11.9484299585704,CAIDA DE AGUA LAMBLASHRUCLO,"474408","8679138",CAIDA DE AGUA,./1.png
-75.2313179020605,-11.9473026339235,SITIO ARQUEOLOGICO CASHAPATA,"474814","8679263",ARQUEOLOGICO,./2.png
-75.2345098931559,-11.9531419925337,SITIO ARQUEOLOGICIO PICHACOTO � CINCO CASERONES,"474467","8678617",ARQUEOLOGICO,./2.png
-75.2335870132126,-11.9479790087815,MIRADOR NATURAL JUNDISHA,"474567","8679188",MIRADOR,./3.png
-75.2340457959276,-11.947472199478,BOSQUE DE ALISO,"474517","8679244",BOSQUE,./4.png
-75.2325183570304,-11.944145513198,BOSQUE DE TASTA,"474683","8679612",BOSQUE,./4.png
-75.2405875645687,-11.9503243737746,BOSQUE DE CHACHACOMO,"473805","8678928",BOSQUE,./4.png
-75.2320868447493,-11.9443176934617,CUEVA MUCHACAYO,"474730","8679593",CUEVAS,./5.png
-75.230773032677,-11.9437671302413,GRAN GRUTA DE CAPILLAYLLO,"474873","8679654",CUEVAS,./5.png
-75.2306809456688,-11.9434778184286,PIEDRA ARCO PUNCO,"474883","8679686",CUEVAS,./5.png
-75.2243333499531,-11.9418913231521,PIEDRAS CHUCHIN,"475574","8679862",CUEVAS,./5.png
-75.2231028360518,-11.9420912560417,CUEVA USHCO MACHAY,"475708","8679840",CUEVAS,./5.png
